Month,Monthly_Sales,Monthly_Profit,Cumulative_Profit
2020-01,76902.45,12502.38,12502.38
2020-02,58109.44,9392.99,21895.37
2020-03,62967.63,7841.63,29737.0
2020-04,58185.12,8433.57,38170.57
2020-05,91612.32,15633.13,53803.7
2020-06,70988.42,11398.71,65202.41
2020-07,84071.73,13289.38,78491.79
2020-08,117107.57,17177.53,95669.32
2020-09,60095.51,10256.98,105926.3
2020-10,75098.45,14040.73,119967.03
2020-11,118527.74,18809.51,138776.54
2020-12,102424.52,16288.51,155065.05
2021-01,124065.58,18422.11,173487.16
2021-02,59808.65,9233.99,182721.15
2021-03,111439.93,13904.07,196625.22
2021-04,61439.52,10473.97,207099.19
2021-05,72619.69,10470.35,217569.54
2021-06,68486.25,10568.69,228138.23
2021-07,90418.84,12186.99,240325.22
2021-08,48877.2,7730.08,248055.3
2021-09,92098.48,13345.72,261401.02
2021-10,107032.28,17219.89,278620.91
2021-11,70196.7,8943.84,287564.75
2021-12,92248.67,13819.3,301384.05
2022-01,70216.9,9345.97,310730.02
2022-02,70125.07,9656.85,320386.87
2022-03,113391.58,17204.15,337591.02
2022-04,108528.77,17437.5,355028.52
2022-05,96139.09,16224.78,371253.3
2022-06,95400.23,14988.19,386241.49
2022-07,78050.27,11104.85,397346.34
2022-08,76056.14,9800.43,407146.77
2022-09,64507.55,10946.54,418093.31
2022-10,99661.73,16110.94,434204.25
2022-11,95603.96,13585.47,447789.72
2022-12,77133.54,11369.22,459158.94
2023-01,82154.22,13663.89,472822.83
2023-02,54924.55,9047.29,481870.12
2023-03,163014.27,29954.49,511824.61
2023-04,41172.9,5732.63,517557.24
2023-05,116592.96,15831.8,533389.04
2023-06,94427.37,14718.3,548107.34
2023-07,73710.3,10484.54,558591.88
2023-08,128751.48,21116.58,579708.46
2023-09,75679.07,11247.41,590955.87
2023-10,118743.15,18566.32,609522.19
2023-11,79561.0,11906.61,621428.8
2023-12,114813.12,17443.74,638872.54
2024-01,40790.64,7428.83,646301.37
2024-02,70783.97,10575.89,656877.26
2024-03,77766.93,11238.74,668116.0
2024-04,120998.78,18829.55,686945.55
2024-05,81845.99,11517.71,698463.26
2024-06,69608.67,11533.9,709997.16
2024-07,97875.82,13719.08,723716.24
2024-08,97049.75,15641.59,739357.83
2024-09,60974.9,9847.07,749204.9
2024-10,121999.35,17007.81,766212.71
2024-11,74922.21,9501.97,775714.68
2024-12,96029.66,14301.44,790016.12
